tag,total_count,json_correct,structure_correct,type_correct,edge_correct,all_correct
"C105, flip, handwritten_only, rot0, test",8,3 (37.50%),3 (37.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C105, flip, handwritten_only, rot1, test",8,6 (75.00%),6 (75.00%),1 (12.50%),0 (0.00%),0 (0.00%)
"C105, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C105, flip, handwritten_only, rot3, test",8,5 (62.50%),5 (62.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C105, flip, mixed_print_hand, rot0, test",8,7 (87.50%),7 (87.50%),2 (25.00%),1 (12.50%),1 (12.50%)
"C105, flip, mixed_print_hand, rot1, test",8,7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%),0 (0.00%)
"C105, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),3 (37.50%),1 (12.50%),1 (12.50%)
"C105, flip, mixed_print_hand, rot3, test",8,7 (87.50%),7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C105, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),3 (37.50%),2 (25.00%),2 (25.00%)
"C105, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C105, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C105, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),2 (25.00%),1 (12.50%),1 (12.50%)
"C105, handwritten_only, no_flip, rot0, test",4,3 (75.00%),3 (75.00%),1 (25.00%),1 (25.00%),1 (25.00%)
"C105, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),3 (75.00%),2 (50.00%),2 (50.00%)
"C105, handwritten_only, no_flip, rot1, test",8,5 (62.50%),5 (62.50%),3 (37.50%),1 (12.50%),1 (12.50%)
"C105, handwritten_only, no_flip, rot2, test",8,7 (87.50%),7 (87.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C105, handwritten_only, no_flip, rot3, test",8,5 (62.50%),5 (62.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C105, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C105, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
